,Year,Team,Result
0,2019,Toronto Raptors,Champ
1,2019,Golden State Warriors,Finals
2,2019,Milwaukee Bucks,Conference Finals
3,2019,Portland Trail Blazers,Conference Finals
4,2019,Boston Celtics,2nd Round
5,2019,Philadelphia 76ers,2nd Round
6,2019,Houston Rockets,2nd Round
7,2019,Denver Nuggets,2nd Round
8,2019,Indiana Pacers,Playoffs
9,2019,Detroit Pistons,Playoffs
10,2019,Brooklyn Nets,Playoffs
11,2019,Orlando Magic,Playoffs
12,2019,San Antonio Spurs,Playoffs
13,2019,Los Angeles Clippers,Playoffs
14,2019,Utah Jazz,Playoffs
15,2019,Oklahoma City Thunder,Playoffs
0,2018,Golden State Warriors,Champ
1,2018,Cleveland Cavaliers,Finals
2,2018,Boston Celtics,Conference Finals
3,2018,Houston Rockets,Conference Finals
4,2018,Philadelphia 76ers,2nd Round
5,2018,Toronto Raptors,2nd Round
6,2018,New Orleans Pelicans,2nd Round
7,2018,Utah Jazz,2nd Round
8,2018,Milwaukee Bucks,Playoffs
9,2018,Indiana Pacers,Playoffs
10,2018,Miami Heat,Playoffs
11,2018,Washington Wizards,Playoffs
12,2018,San Antonio Spurs,Playoffs
13,2018,Minnesota Timberwolves,Playoffs
14,2018,Portland Trail Blazers,Playoffs
15,2018,Oklahoma City Thunder,Playoffs
0,2017,Golden State Warriors,Champ
1,2017,Cleveland Cavaliers,Finals
2,2017,Boston Celtics,Conference Finals
3,2017,San Antonio Spurs,Conference Finals
4,2017,Washington Wizards,2nd Round
5,2017,Toronto Raptors,2nd Round
6,2017,Utah Jazz,2nd Round
7,2017,Houston Rockets,2nd Round
8,2017,Chicago Bulls,Playoffs
9,2017,Indiana Pacers,Playoffs
10,2017,Milwaukee Bucks,Playoffs
11,2017,Atlanta Hawks,Playoffs
12,2017,Portland Trail Blazers,Playoffs
13,2017,Oklahoma City Thunder,Playoffs
14,2017,Memphis Grizzlies,Playoffs
15,2017,Los Angeles Clippers,Playoffs
0,2016,Cleveland Cavaliers,Champ
1,2016,Golden State Warriors,Finals
2,2016,Toronto Raptors,Conference Finals
3,2016,Oklahoma City Thunder,Conference Finals
4,2016,Atlanta Hawks,2nd Round
5,2016,Miami Heat,2nd Round
6,2016,Portland Trail Blazers,2nd Round
7,2016,San Antonio Spurs,2nd Round
8,2016,Boston Celtics,Playoffs
9,2016,Detroit Pistons,Playoffs
10,2016,Charlotte Hornets,Playoffs
11,2016,Indiana Pacers,Playoffs
12,2016,Houston Rockets,Playoffs
13,2016,Dallas Mavericks,Playoffs
14,2016,Los Angeles Clippers,Playoffs
15,2016,Memphis Grizzlies,Playoffs
0,2015,Golden State Warriors,Champ
1,2015,Cleveland Cavaliers,Finals
2,2015,Atlanta Hawks,Conference Finals
3,2015,Houston Rockets,Conference Finals
4,2015,Washington Wizards,2nd Round
5,2015,Chicago Bulls,2nd Round
6,2015,Memphis Grizzlies,2nd Round
7,2015,Los Angeles Clippers,2nd Round
8,2015,Brooklyn Nets,Playoffs
9,2015,Milwaukee Bucks,Playoffs
10,2015,Boston Celtics,Playoffs
11,2015,Toronto Raptors,Playoffs
12,2015,New Orleans Pelicans,Playoffs
13,2015,Dallas Mavericks,Playoffs
14,2015,San Antonio Spurs,Playoffs
15,2015,Portland Trail Blazers,Playoffs
0,2014,San Antonio Spurs,Champ
1,2014,Miami Heat,Finals
2,2014,Indiana Pacers,Conference Finals
3,2014,Oklahoma City Thunder,Conference Finals
4,2014,Washington Wizards,2nd Round
5,2014,Brooklyn Nets,2nd Round
6,2014,Los Angeles Clippers,2nd Round
7,2014,Portland Trail Blazers,2nd Round
8,2014,Toronto Raptors,Playoffs
9,2014,Atlanta Hawks,Playoffs
10,2014,Charlotte Bobcats,Playoffs
11,2014,Chicago Bulls,Playoffs
12,2014,Golden State Warriors,Playoffs
13,2014,Memphis Grizzlies,Playoffs
14,2014,Houston Rockets,Playoffs
15,2014,Dallas Mavericks,Playoffs
0,2013,Miami Heat,Champ
1,2013,San Antonio Spurs,Finals
2,2013,Indiana Pacers,Conference Finals
3,2013,Memphis Grizzlies,Conference Finals
4,2013,New York Knicks,2nd Round
5,2013,Chicago Bulls,2nd Round
6,2013,Oklahoma City Thunder,2nd Round
7,2013,Golden State Warriors,2nd Round
8,2013,Brooklyn Nets,Playoffs
9,2013,Atlanta Hawks,Playoffs
10,2013,Milwaukee Bucks,Playoffs
11,2013,Boston Celtics,Playoffs
12,2013,Denver Nuggets,Playoffs
13,2013,Los Angeles Clippers,Playoffs
14,2013,Houston Rockets,Playoffs
15,2013,Los Angeles Lakers,Playoffs
0,2012,Miami Heat,Champ
1,2012,Oklahoma City Thunder,Finals
2,2012,Boston Celtics,Conference Finals
3,2012,San Antonio Spurs,Conference Finals
4,2012,Philadelphia 76ers,2nd Round
5,2012,Indiana Pacers,2nd Round
6,2012,Los Angeles Lakers,2nd Round
7,2012,Los Angeles Clippers,2nd Round
8,2012,Atlanta Hawks,Playoffs
9,2012,Orlando Magic,Playoffs
10,2012,New York Knicks,Playoffs
11,2012,Chicago Bulls,Playoffs
12,2012,Memphis Grizzlies,Playoffs
13,2012,Denver Nuggets,Playoffs
14,2012,Dallas Mavericks,Playoffs
15,2012,Utah Jazz,Playoffs
0,2011,Dallas Mavericks,Champ
1,2011,Miami Heat,Finals
2,2011,Chicago Bulls,Conference Finals
3,2011,Oklahoma City Thunder,Conference Finals
4,2011,Atlanta Hawks,2nd Round
5,2011,Boston Celtics,2nd Round
6,2011,Los Angeles Lakers,2nd Round
7,2011,Memphis Grizzlies,2nd Round
8,2011,Orlando Magic,Playoffs
9,2011,New York Knicks,Playoffs
10,2011,Indiana Pacers,Playoffs
11,2011,Philadelphia 76ers,Playoffs
12,2011,Portland Trail Blazers,Playoffs
13,2011,New Orleans Hornets,Playoffs
14,2011,San Antonio Spurs,Playoffs
15,2011,Denver Nuggets,Playoffs
0,2010,Los Angeles Lakers,Champ
1,2010,Boston Celtics,Finals
2,2010,Orlando Magic,Conference Finals
3,2010,Phoenix Suns,Conference Finals
4,2010,Cleveland Cavaliers,2nd Round
5,2010,Atlanta Hawks,2nd Round
6,2010,Utah Jazz,2nd Round
7,2010,San Antonio Spurs,2nd Round
8,2010,Milwaukee Bucks,Playoffs
9,2010,Miami Heat,Playoffs
10,2010,Chicago Bulls,Playoffs
11,2010,Charlotte Bobcats,Playoffs
12,2010,Oklahoma City Thunder,Playoffs
13,2010,Portland Trail Blazers,Playoffs
14,2010,Dallas Mavericks,Playoffs
15,2010,Denver Nuggets,Playoffs
0,2009,Los Angeles Lakers,Champ
1,2009,Orlando Magic,Finals
2,2009,Cleveland Cavaliers,Conference Finals
3,2009,Denver Nuggets,Conference Finals
4,2009,Atlanta Hawks,2nd Round
5,2009,Boston Celtics,2nd Round
6,2009,Dallas Mavericks,2nd Round
7,2009,Houston Rockets,2nd Round
8,2009,Miami Heat,Playoffs
9,2009,Chicago Bulls,Playoffs
10,2009,Detroit Pistons,Playoffs
11,2009,Philadelphia 76ers,Playoffs
12,2009,San Antonio Spurs,Playoffs
13,2009,New Orleans Hornets,Playoffs
14,2009,Portland Trail Blazers,Playoffs
15,2009,Utah Jazz,Playoffs
0,2008,Boston Celtics,Champ
1,2008,Los Angeles Lakers,Finals
2,2008,Detroit Pistons,Conference Finals
3,2008,San Antonio Spurs,Conference Finals
4,2008,Cleveland Cavaliers,2nd Round
5,2008,Orlando Magic,2nd Round
6,2008,Utah Jazz,2nd Round
7,2008,New Orleans Hornets,2nd Round
8,2008,Atlanta Hawks,Playoffs
9,2008,Washington Wizards,Playoffs
10,2008,Philadelphia 76ers,Playoffs
11,2008,Toronto Raptors,Playoffs
12,2008,Denver Nuggets,Playoffs
13,2008,Dallas Mavericks,Playoffs
14,2008,Phoenix Suns,Playoffs
15,2008,Houston Rockets,Playoffs
0,2007,San Antonio Spurs,Champ
1,2007,Cleveland Cavaliers,Finals
2,2007,Detroit Pistons,Conference Finals
3,2007,Utah Jazz,Conference Finals
4,2007,New Jersey Nets,2nd Round
5,2007,Chicago Bulls,2nd Round
6,2007,Phoenix Suns,2nd Round
7,2007,Golden State Warriors,2nd Round
8,2007,Miami Heat,Playoffs
9,2007,Washington Wizards,Playoffs
10,2007,Orlando Magic,Playoffs
11,2007,Toronto Raptors,Playoffs
12,2007,Dallas Mavericks,Playoffs
13,2007,Los Angeles Lakers,Playoffs
14,2007,Denver Nuggets,Playoffs
15,2007,Houston Rockets,Playoffs
0,2006,Miami Heat,Champ
1,2006,Dallas Mavericks,Finals
2,2006,Detroit Pistons,Conference Finals
3,2006,Phoenix Suns,Conference Finals
4,2006,Cleveland Cavaliers,2nd Round
5,2006,New Jersey Nets,2nd Round
6,2006,San Antonio Spurs,2nd Round
7,2006,Los Angeles Clippers,2nd Round
8,2006,Washington Wizards,Playoffs
9,2006,Milwaukee Bucks,Playoffs
10,2006,Chicago Bulls,Playoffs
11,2006,Indiana Pacers,Playoffs
12,2006,Memphis Grizzlies,Playoffs
13,2006,Denver Nuggets,Playoffs
14,2006,Los Angeles Lakers,Playoffs
15,2006,Sacramento Kings,Playoffs
0,2005,San Antonio Spurs,Champ
1,2005,Detroit Pistons,Finals
2,2005,Miami Heat,Conference Finals
3,2005,Phoenix Suns,Conference Finals
4,2005,Indiana Pacers,2nd Round
5,2005,Washington Wizards,2nd Round
6,2005,Dallas Mavericks,2nd Round
7,2005,Seattle SuperSonics,2nd Round
8,2005,Philadelphia 76ers,Playoffs
9,2005,Boston Celtics,Playoffs
10,2005,New Jersey Nets,Playoffs
11,2005,Chicago Bulls,Playoffs
12,2005,Houston Rockets,Playoffs
13,2005,Memphis Grizzlies,Playoffs
14,2005,Denver Nuggets,Playoffs
15,2005,Sacramento Kings,Playoffs
0,2004,Detroit Pistons,Champ
1,2004,Los Angeles Lakers,Finals
2,2004,Indiana Pacers,Conference Finals
3,2004,Minnesota Timberwolves,Conference Finals
4,2004,New Jersey Nets,2nd Round
5,2004,Miami Heat,2nd Round
6,2004,San Antonio Spurs,2nd Round
7,2004,Sacramento Kings,2nd Round
8,2004,Milwaukee Bucks,Playoffs
9,2004,Boston Celtics,Playoffs
10,2004,New Orleans Hornets,Playoffs
11,2004,New York Knicks,Playoffs
12,2004,Houston Rockets,Playoffs
13,2004,Denver Nuggets,Playoffs
14,2004,Dallas Mavericks,Playoffs
15,2004,Memphis Grizzlies,Playoffs
0,2003,San Antonio Spurs,Champ
1,2003,New Jersey Nets,Finals
2,2003,Detroit Pistons,Conference Finals
3,2003,Dallas Mavericks,Conference Finals
4,2003,Philadelphia 76ers,2nd Round
5,2003,Boston Celtics,2nd Round
6,2003,Sacramento Kings,2nd Round
7,2003,Los Angeles Lakers,2nd Round
8,2003,Indiana Pacers,Playoffs
9,2003,Orlando Magic,Playoffs
10,2003,Milwaukee Bucks,Playoffs
11,2003,New Orleans Hornets,Playoffs
12,2003,Portland Trail Blazers,Playoffs
13,2003,Minnesota Timberwolves,Playoffs
14,2003,Utah Jazz,Playoffs
15,2003,Phoenix Suns,Playoffs
0,2002,Los Angeles Lakers,Champ
1,2002,New Jersey Nets,Finals
2,2002,Boston Celtics,Conference Finals
3,2002,Sacramento Kings,Conference Finals
4,2002,Detroit Pistons,2nd Round
5,2002,Charlotte Hornets,2nd Round
6,2002,San Antonio Spurs,2nd Round
7,2002,Dallas Mavericks,2nd Round
8,2002,Philadelphia 76ers,Playoffs
9,2002,Orlando Magic,Playoffs
10,2002,Toronto Raptors,Playoffs
11,2002,Indiana Pacers,Playoffs
12,2002,Minnesota Timberwolves,Playoffs
13,2002,Portland Trail Blazers,Playoffs
14,2002,Utah Jazz,Playoffs
15,2002,Seattle SuperSonics,Playoffs
0,2001,Los Angeles Lakers,Champ
1,2001,Philadelphia 76ers,Finals
2,2001,Milwaukee Bucks,Conference Finals
3,2001,San Antonio Spurs,Conference Finals
4,2001,Charlotte Hornets,2nd Round
5,2001,Toronto Raptors,2nd Round
6,2001,Sacramento Kings,2nd Round
7,2001,Dallas Mavericks,2nd Round
8,2001,Miami Heat,Playoffs
9,2001,Orlando Magic,Playoffs
10,2001,Indiana Pacers,Playoffs
11,2001,New York Knicks,Playoffs
12,2001,Utah Jazz,Playoffs
13,2001,Portland Trail Blazers,Playoffs
14,2001,Phoenix Suns,Playoffs
15,2001,Minnesota Timberwolves,Playoffs
0,2000,Los Angeles Lakers,Champ
1,2000,Indiana Pacers,Finals
2,2000,New York Knicks,Conference Finals
3,2000,Portland Trail Blazers,Conference Finals
4,2000,Philadelphia 76ers,2nd Round
5,2000,Miami Heat,2nd Round
6,2000,Phoenix Suns,2nd Round
7,2000,Utah Jazz,2nd Round
8,2000,Milwaukee Bucks,Playoffs
9,2000,Detroit Pistons,Playoffs
10,2000,Toronto Raptors,Playoffs
11,2000,Charlotte Hornets,Playoffs
12,2000,Sacramento Kings,Playoffs
13,2000,San Antonio Spurs,Playoffs
14,2000,Minnesota Timberwolves,Playoffs
15,2000,Seattle SuperSonics,Playoffs
0,1999,San Antonio Spurs,Champ
1,1999,New York Knicks,Finals
2,1999,Indiana Pacers,Conference Finals
3,1999,Portland Trail Blazers,Conference Finals
4,1999,Philadelphia 76ers,2nd Round
5,1999,Atlanta Hawks,2nd Round
6,1999,Utah Jazz,2nd Round
7,1999,Los Angeles Lakers,2nd Round
8,1999,Detroit Pistons,Playoffs
9,1999,Milwaukee Bucks,Playoffs
10,1999,Miami Heat,Playoffs
11,1999,Orlando Magic,Playoffs
12,1999,Houston Rockets,Playoffs
13,1999,Phoenix Suns,Playoffs
14,1999,Minnesota Timberwolves,Playoffs
15,1999,Sacramento Kings,Playoffs
0,1998,Chicago Bulls,Champ
1,1998,Utah Jazz,Finals
2,1998,Indiana Pacers,Conference Finals
3,1998,Los Angeles Lakers,Conference Finals
4,1998,Charlotte Hornets,2nd Round
5,1998,New York Knicks,2nd Round
6,1998,Seattle SuperSonics,2nd Round
7,1998,San Antonio Spurs,2nd Round
8,1998,Atlanta Hawks,Playoffs
9,1998,New Jersey Nets,Playoffs
10,1998,Cleveland Cavaliers,Playoffs
11,1998,Miami Heat,Playoffs
12,1998,Portland Trail Blazers,Playoffs
13,1998,Phoenix Suns,Playoffs
14,1998,Minnesota Timberwolves,Playoffs
15,1998,Houston Rockets,Playoffs
0,1997,Chicago Bulls,Champ
1,1997,Utah Jazz,Finals
2,1997,Miami Heat,Conference Finals
3,1997,Houston Rockets,Conference Finals
4,1997,Atlanta Hawks,2nd Round
5,1997,New York Knicks,2nd Round
6,1997,Seattle SuperSonics,2nd Round
7,1997,Los Angeles Lakers,2nd Round
8,1997,Detroit Pistons,Playoffs
9,1997,Washington Bullets,Playoffs
10,1997,Orlando Magic,Playoffs
11,1997,Charlotte Hornets,Playoffs
12,1997,Minnesota Timberwolves,Playoffs
13,1997,Portland Trail Blazers,Playoffs
14,1997,Phoenix Suns,Playoffs
15,1997,Los Angeles Clippers,Playoffs
0,1996,Chicago Bulls,Champ
1,1996,Seattle SuperSonics,Finals
2,1996,Orlando Magic,Conference Finals
3,1996,Utah Jazz,Conference Finals
4,1996,New York Knicks,2nd Round
5,1996,Atlanta Hawks,2nd Round
6,1996,Houston Rockets,2nd Round
7,1996,San Antonio Spurs,2nd Round
8,1996,Indiana Pacers,Playoffs
9,1996,Miami Heat,Playoffs
10,1996,Cleveland Cavaliers,Playoffs
11,1996,Detroit Pistons,Playoffs
12,1996,Los Angeles Lakers,Playoffs
13,1996,Phoenix Suns,Playoffs
14,1996,Sacramento Kings,Playoffs
15,1996,Portland Trail Blazers,Playoffs
0,1995,Houston Rockets,Champ
1,1995,Orlando Magic,Finals
2,1995,Indiana Pacers,Conference Finals
3,1995,San Antonio Spurs,Conference Finals
4,1995,New York Knicks,2nd Round
5,1995,Chicago Bulls,2nd Round
6,1995,Phoenix Suns,2nd Round
7,1995,Los Angeles Lakers,2nd Round
8,1995,Charlotte Hornets,Playoffs
9,1995,Atlanta Hawks,Playoffs
10,1995,Cleveland Cavaliers,Playoffs
11,1995,Boston Celtics,Playoffs
12,1995,Utah Jazz,Playoffs
13,1995,Seattle SuperSonics,Playoffs
14,1995,Portland Trail Blazers,Playoffs
15,1995,Denver Nuggets,Playoffs
0,1994,Houston Rockets,Champ
1,1994,New York Knicks,Finals
2,1994,Indiana Pacers,Conference Finals
3,1994,Utah Jazz,Conference Finals
4,1994,Atlanta Hawks,2nd Round
5,1994,Chicago Bulls,2nd Round
6,1994,Phoenix Suns,2nd Round
7,1994,Denver Nuggets,2nd Round
8,1994,Miami Heat,Playoffs
9,1994,Cleveland Cavaliers,Playoffs
10,1994,Orlando Magic,Playoffs
11,1994,New Jersey Nets,Playoffs
12,1994,Seattle SuperSonics,Playoffs
13,1994,Portland Trail Blazers,Playoffs
14,1994,Golden State Warriors,Playoffs
15,1994,San Antonio Spurs,Playoffs
0,1993,Chicago Bulls,Champ
1,1993,Phoenix Suns,Finals
2,1993,New York Knicks,Conference Finals
3,1993,Seattle SuperSonics,Conference Finals
4,1993,Cleveland Cavaliers,2nd Round
5,1993,Charlotte Hornets,2nd Round
6,1993,San Antonio Spurs,2nd Round
7,1993,Houston Rockets,2nd Round
8,1993,Boston Celtics,Playoffs
9,1993,Atlanta Hawks,Playoffs
10,1993,New Jersey Nets,Playoffs
11,1993,Indiana Pacers,Playoffs
12,1993,Los Angeles Clippers,Playoffs
13,1993,Los Angeles Lakers,Playoffs
14,1993,Portland Trail Blazers,Playoffs
15,1993,Utah Jazz,Playoffs
0,1992,Chicago Bulls,Champ
1,1992,Portland Trail Blazers,Finals
2,1992,Cleveland Cavaliers,Conference Finals
3,1992,Utah Jazz,Conference Finals
4,1992,New York Knicks,2nd Round
5,1992,Boston Celtics,2nd Round
6,1992,Phoenix Suns,2nd Round
7,1992,Seattle SuperSonics,2nd Round
8,1992,Indiana Pacers,Playoffs
9,1992,Miami Heat,Playoffs
10,1992,New Jersey Nets,Playoffs
11,1992,Detroit Pistons,Playoffs
12,1992,San Antonio Spurs,Playoffs
13,1992,Los Angeles Lakers,Playoffs
14,1992,Golden State Warriors,Playoffs
15,1992,Los Angeles Clippers,Playoffs
0,1991,Chicago Bulls,Champ
1,1991,Los Angeles Lakers,Finals
2,1991,Detroit Pistons,Conference Finals
3,1991,Portland Trail Blazers,Conference Finals
4,1991,Philadelphia 76ers,2nd Round
5,1991,Boston Celtics,2nd Round
6,1991,Golden State Warriors,2nd Round
7,1991,Utah Jazz,2nd Round
8,1991,Indiana Pacers,Playoffs
9,1991,New York Knicks,Playoffs
10,1991,Atlanta Hawks,Playoffs
11,1991,Milwaukee Bucks,Playoffs
12,1991,San Antonio Spurs,Playoffs
13,1991,Houston Rockets,Playoffs
14,1991,Seattle SuperSonics,Playoffs
15,1991,Phoenix Suns,Playoffs
0,1990,Detroit Pistons,Champ
1,1990,Portland Trail Blazers,Finals
2,1990,Chicago Bulls,Conference Finals
3,1990,Phoenix Suns,Conference Finals
4,1990,Philadelphia 76ers,2nd Round
5,1990,New York Knicks,2nd Round
6,1990,Los Angeles Lakers,2nd Round
7,1990,San Antonio Spurs,2nd Round
8,1990,Milwaukee Bucks,Playoffs
9,1990,Indiana Pacers,Playoffs
10,1990,Boston Celtics,Playoffs
11,1990,Cleveland Cavaliers,Playoffs
12,1990,Houston Rockets,Playoffs
13,1990,Utah Jazz,Playoffs
14,1990,Dallas Mavericks,Playoffs
15,1990,Denver Nuggets,Playoffs
0,1989,Detroit Pistons,Champ
1,1989,Los Angeles Lakers,Finals
2,1989,Chicago Bulls,Conference Finals
3,1989,Phoenix Suns,Conference Finals
4,1989,New York Knicks,2nd Round
5,1989,Milwaukee Bucks,2nd Round
6,1989,Seattle SuperSonics,2nd Round
7,1989,Golden State Warriors,2nd Round
8,1989,Cleveland Cavaliers,Playoffs
9,1989,Boston Celtics,Playoffs
10,1989,Atlanta Hawks,Playoffs
11,1989,Philadelphia 76ers,Playoffs
12,1989,Utah Jazz,Playoffs
13,1989,Portland Trail Blazers,Playoffs
14,1989,Denver Nuggets,Playoffs
15,1989,Houston Rockets,Playoffs
0,1988,Los Angeles Lakers,Champ
1,1988,Detroit Pistons,Finals
2,1988,Boston Celtics,Conference Finals
3,1988,Dallas Mavericks,Conference Finals
4,1988,Atlanta Hawks,2nd Round
5,1988,Chicago Bulls,2nd Round
6,1988,Denver Nuggets,2nd Round
7,1988,Utah Jazz,2nd Round
8,1988,Milwaukee Bucks,Playoffs
9,1988,New York Knicks,Playoffs
10,1988,Cleveland Cavaliers,Playoffs
11,1988,Washington Bullets,Playoffs
12,1988,Houston Rockets,Playoffs
13,1988,Seattle SuperSonics,Playoffs
14,1988,San Antonio Spurs,Playoffs
15,1988,Portland Trail Blazers,Playoffs
0,1987,Los Angeles Lakers,Champ
1,1987,Boston Celtics,Finals
2,1987,Detroit Pistons,Conference Finals
3,1987,Seattle SuperSonics,Conference Finals
4,1987,Milwaukee Bucks,2nd Round
5,1987,Atlanta Hawks,2nd Round
6,1987,Golden State Warriors,2nd Round
7,1987,Houston Rockets,2nd Round
8,1987,Indiana Pacers,Playoffs
9,1987,Chicago Bulls,Playoffs
10,1987,Washington Bullets,Playoffs
11,1987,Philadelphia 76ers,Playoffs
12,1987,Utah Jazz,Playoffs
13,1987,Portland Trail Blazers,Playoffs
14,1987,Denver Nuggets,Playoffs
15,1987,Dallas Mavericks,Playoffs
0,1986,Boston Celtics,Champ
1,1986,Houston Rockets,Finals
2,1986,Milwaukee Bucks,Conference Finals
3,1986,Los Angeles Lakers,Conference Finals
4,1986,Atlanta Hawks,2nd Round
5,1986,Philadelphia 76ers,2nd Round
6,1986,Denver Nuggets,2nd Round
7,1986,Dallas Mavericks,2nd Round
8,1986,Detroit Pistons,Playoffs
9,1986,Chicago Bulls,Playoffs
10,1986,New Jersey Nets,Playoffs
11,1986,Washington Bullets,Playoffs
12,1986,Utah Jazz,Playoffs
13,1986,Portland Trail Blazers,Playoffs
14,1986,Sacramento Kings,Playoffs
15,1986,San Antonio Spurs,Playoffs
0,1985,Los Angeles Lakers,Champ
1,1985,Boston Celtics,Finals
2,1985,Philadelphia 76ers,Conference Finals
3,1985,Denver Nuggets,Conference Finals
4,1985,Detroit Pistons,2nd Round
5,1985,Milwaukee Bucks,2nd Round
6,1985,Utah Jazz,2nd Round
7,1985,Portland Trail Blazers,2nd Round
8,1985,Cleveland Cavaliers,Playoffs
9,1985,New Jersey Nets,Playoffs
10,1985,Chicago Bulls,Playoffs
11,1985,Washington Bullets,Playoffs
12,1985,San Antonio Spurs,Playoffs
13,1985,Phoenix Suns,Playoffs
14,1985,Dallas Mavericks,Playoffs
15,1985,Houston Rockets,Playoffs
0,1984,Boston Celtics,Champ
1,1984,Los Angeles Lakers,Finals
2,1984,Milwaukee Bucks,Conference Finals
3,1984,Phoenix Suns,Conference Finals
4,1984,New York Knicks,2nd Round
5,1984,New Jersey Nets,2nd Round
6,1984,Dallas Mavericks,2nd Round
7,1984,Utah Jazz,2nd Round
8,1984,Washington Bullets,Playoffs
9,1984,Atlanta Hawks,Playoffs
10,1984,Philadelphia 76ers,Playoffs
11,1984,Detroit Pistons,Playoffs
12,1984,Seattle SuperSonics,Playoffs
13,1984,Kansas City Kings,Playoffs
14,1984,Portland Trail Blazers,Playoffs
15,1984,Denver Nuggets,Playoffs
0,1983,Philadelphia 76ers,Champ
1,1983,Los Angeles Lakers,Finals
2,1983,Milwaukee Bucks,Conference Finals
3,1983,San Antonio Spurs,Conference Finals
4,1983,Boston Celtics,2nd Round
5,1983,New York Knicks,2nd Round
6,1983,Portland Trail Blazers,2nd Round
7,1983,Denver Nuggets,2nd Round
8,1983,Atlanta Hawks,Playoffs
9,1983,New Jersey Nets,Playoffs
10,1983,Phoenix Suns,Playoffs
11,1983,Seattle SuperSonics,Playoffs
0,1982,Los Angeles Lakers,Champ
1,1982,Philadelphia 76ers,Finals
2,1982,Boston Celtics,Conference Finals
3,1982,San Antonio Spurs,Conference Finals
4,1982,Washington Bullets,2nd Round
5,1982,Milwaukee Bucks,2nd Round
6,1982,Phoenix Suns,2nd Round
7,1982,Seattle SuperSonics,2nd Round
8,1982,Atlanta Hawks,Playoffs
9,1982,New Jersey Nets,Playoffs
10,1982,Denver Nuggets,Playoffs
11,1982,Houston Rockets,Playoffs
0,1981,Boston Celtics,Champ
1,1981,Houston Rockets,Finals
2,1981,Philadelphia 76ers,Conference Finals
3,1981,Kansas City Kings,Conference Finals
4,1981,Chicago Bulls,2nd Round
5,1981,Milwaukee Bucks,2nd Round
6,1981,San Antonio Spurs,2nd Round
7,1981,Phoenix Suns,2nd Round
8,1981,New York Knicks,Playoffs
9,1981,Indiana Pacers,Playoffs
10,1981,Los Angeles Lakers,Playoffs
11,1981,Portland Trail Blazers,Playoffs
0,1980,Los Angeles Lakers,Champ
1,1980,Philadelphia 76ers,Finals
2,1980,Boston Celtics,Conference Finals
3,1980,Seattle SuperSonics,Conference Finals
4,1980,Houston Rockets,2nd Round
5,1980,Atlanta Hawks,2nd Round
6,1980,Phoenix Suns,2nd Round
7,1980,Milwaukee Bucks,2nd Round
8,1980,San Antonio Spurs,Playoffs
9,1980,Washington Bullets,Playoffs
10,1980,Kansas City Kings,Playoffs
11,1980,Portland Trail Blazers,Playoffs
